Product Name,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Order Quantity,On time shipment rate
Pelican Sunstream 100 Kayak,201709,29,1.60905,75,0.5866666666666667
Diamondback Women's Serene Classic Comfort Bi,201709,34,0.76535,75,0.6266666666666667
Nike Men's Comfort 2 Slide,201709,0,1.71565,1,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201709,5,1.14285,3,1.0
Top Flite Women's 2017 XL Hybrid,201709,4,0.76409,4,0.0
Bag Boy Beverage Holder,201709,1,0.60164,1,0.0
Children's heaters,201709,2,2.17739,1,0.0
Web Camera,201709,15,1.88508,10,0.0
Sports Books,201709,0,0.99432,4,0.0
DVDs,201709,2,2.22212,2,1.0
Elevation Training Mask 2.0,201709,3,1.28252,4,1.0
LIJA Women's Mid-Length Panel Golf Shorts,201709,3,0.82689,3,1.0
Brooks Women's Ghost 6 Running Shoe,201709,8,0.37901,4,0.5
Bag Boy M330 Push Cart,201709,4,1.39513,3,1.0
Merrell Women's Grassbow Sport Hiking Shoe,201709,10,0.31175,5,0.0
Nike Men's Free TR 5.0 TB Training Shoe,201709,3,2.07699,2,1.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201709,8,1.65839,5,0.0
CDs of rock,201709,1,0.87013,3,0.0
Polar FT4 Heart Rate Monitor,201709,8,1.12102,6,0.5
LIJA Women's Argyle Golf Polo,201709,4,1.50784,6,0.5
Fitbit The One Wireless Activity & Sleep Trac,201709,1,2.04271,5,0.5
Nike Kids' Grade School KD VI Basketball Shoe,201709,14,0.47433,8,0.5
The North Face Women's Recon Backpack,201709,1,0.95934,2,1.0
Baby sweater,201709,1,1.29588,1,0.0
Merrell Men's All Out Flash Trail Running Sho,201709,3,2.23425,2,1.0
Garmin Approach S3 Golf GPS Watch,201709,2,0.78309,1,0.0
Merrell Women's Siren Mid Waterproof Hiking B,201709,2,0.1242,1,1.0
TaylorMade Women's RBZ SL Rescue,201709,4,1.1345,2,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201709,3,0.60951,4,0.25
TaylorMade 2017 Purelite Stand Bag,201709,0,0.12471,3,0.6666666666666667
Nike Men's Fingertrap Max Training Shoe,201709,2,2.23725,1,0.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201709,4,2.20668,2,0.5
GolfBuddy VT3 GPS Watch,201709,3,0.94895,2,0.5
Merrell Women's Grassbow Sport Waterproof Hik,201709,0,2.12731,1,0.0
Titleist Small Wheeled Travel Cover,201709,0,2.07193,1,1.0
Polar Loop Activity Tracker,201709,3,1.21829,3,0.6666666666666667
Pelican Maverick 100X Kayak,201709,3,1.41186,7,0.2857142857142857
Garmin Approach S4 Golf GPS Watch,201709,2,0.17691,3,0.6666666666666667
Total Gym 1400,201709,1,0.19243,5,0.6
Garmin Forerunner 910XT GPS Watch,201709,2,0.78205,3,0.6666666666666667
Titleist Club Glove Travel Cover,201709,3,0.98067,3,0.33333333333333337
GoPro HERO3+ Black Edition Camera,201709,0,0.58346,1,1.0
Diamondback Boys' Insight 24 Performance Hybr,201709,0,1.93983,1,1.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201709,2,1.1197,5,0.8
Stiga Master Series ST3100 Competition Indoor,201709,4,2.13431,3,0.33333333333333337
Perfect Fitness Perfect Rip Deck,201708,158,0.56871,396,0.6106870229007634
Nike Men's Dri-FIT Victory Golf Polo,201708,154,1.15865,336,0.6206896551724138
O'Brien Men's Neoprene Life Vest,201708,436,1.93181,248,0.6341463414634146
Nike Men's Free 5.0+ Running Shoe,201708,234,2.17224,159,0.6122448979591837
Under Armour Girls' Toddler Spine Surge Runni,201708,329,0.91808,178,0.6491228070175439
Nike Men's CJ Elite 2 TD Football Cleat,201708,52,1.18195,102,0.5882352941176471
Field & Stream Sportsman 16 Gun Fire Safe,201708,167,1.9601,87,0.5977011494252873
Pelican Sunstream 100 Kayak,201708,129,2.04143,94,0.5638297872340425
Diamondback Women's Serene Classic Comfort Bi,201708,6,1.25768,69,0.536231884057971
adidas Youth Germany Black/Red Away Match Soc,201708,3,2.19082,3,1.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201708,0,0.68625,1,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201708,2,0.90595,1,0.0
Under Armour Women's Ignite Slide,201708,1,2.2671,4,0.0
Clicgear 8.0 Shoe Brush,201708,4,0.99774,4,1.0
Glove It Urban Brick Golf Towel,201708,12,1.09139,7,0.5
Under Armour Women's Micro G Skulpt Running S,201708,8,1.91138,6,0.0
Web Camera,201708,3,1.8621,2,0.5
Porcelain crafts,201708,6,1.77113,3,1.0
DVDs,201708,0,1.29943,1,1.0
Industrial consumer electronics,201708,2,1.87279,2,0.5
Elevation Training Mask 2.0,201708,2,1.65973,3,1.0
LIJA Women's Mid-Length Panel Golf Shorts,201708,9,0.18759,5,1.0
Brooks Women's Ghost 6 Running Shoe,201708,14,2.16146,9,0.5
Bag Boy M330 Push Cart,201708,2,1.05887,5,0.0
Merrell Women's Grassbow Sport Hiking Shoe,201708,0,2.05799,3,0.5
Nike Men's Free TR 5.0 TB Training Shoe,201708,0,1.97209,1,1.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201708,0,0.31168,15,0.8
CDs of rock,201708,1,1.42987,1,0.0
Polar FT4 Heart Rate Monitor,201708,4,0.60882,3,0.0
LIJA Women's Argyle Golf Polo,201708,4,1.5097,3,1.0
TaylorMade White Smoke IN-12 Putter,201708,16,1.93738,12,1.0
Fitbit The One Wireless Activity & Sleep Trac,201708,5,1.6174,4,1.0
Nike Kids' Grade School KD VI Basketball Shoe,201708,12,1.30208,7,1.0
The North Face Women's Recon Backpack,201708,7,1.33995,7,1.0
MDGolf Pittsburgh Penguins Putter,201708,1,2.14569,1,1.0
Garmin Approach S3 Golf GPS Watch,201708,3,2.14781,2,0.5
Cleveland Golf Women's 588 RTX CB Satin Chrom,201708,1,0.28546,1,1.0
Merrell Women's Siren Mid Waterproof Hiking B,201708,4,1.80366,3,0.33333333333333337
TaylorMade Women's RBZ SL Rescue,201708,2,1.10552,1,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201708,0,0.41841,1,1.0
TaylorMade 2017 Purelite Stand Bag,201708,0,1.68243,2,0.5
adidas Brazuca 2017 Official Match Ball,201708,1,0.68332,2,0.5
Nike Men's Fingertrap Max Training Shoe,201708,4,1.01945,4,0.25
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201708,2,0.29216,1,1.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201708,3,1.25083,3,0.6666666666666667
Ogio Race Golf Shoes,201708,1,0.55284,6,0.8333333333333334
insta-bed Neverflat Air Mattress,201708,10,0.12973,5,0.6
GolfBuddy VT3 GPS Watch,201708,1,2.27242,1,1.0
Merrell Women's Grassbow Sport Waterproof Hik,201708,4,1.71092,2,1.0
Titleist Small Wheeled Travel Cover,201708,1,1.05238,2,1.0
Polar Loop Activity Tracker,201708,5,0.52208,3,0.33333333333333337
Perfect Fitness Perfect Rip Deck,201707,37,2.05885,339,0.6283185840707964
Nike Men's Dri-FIT Victory Golf Polo,201707,619,2.24667,322,0.6785714285714286
O'Brien Men's Neoprene Life Vest,201707,91,1.14654,337,0.537037037037037
Nike Men's Free 5.0+ Running Shoe,201707,329,0.2943,204,0.6268656716417911
Under Armour Girls' Toddler Spine Surge Runni,201707,353,0.8271,183,0.5517241379310345
Nike Men's CJ Elite 2 TD Football Cleat,201707,194,1.32662,126,0.47619047619047616
Field & Stream Sportsman 16 Gun Fire Safe,201707,35,1.76017,85,0.5882352941176471
Pelican Sunstream 100 Kayak,201707,22,0.66168,82,0.6585365853658536
Diamondback Women's Serene Classic Comfort Bi,201707,90,0.32416,71,0.6056338028169015
Nike Men's Comfort 2 Slide,201707,2,0.85838,1,1.0
LIJA Women's Eyelet Sleeveless Golf Polo,201707,8,0.333,5,0.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201707,4,2.20021,2,0.0
Nike Women's Tempo Shorts,201707,2,0.21754,4,0.0
adidas Men's Germany Black Crest Away Tee,201707,5,2.24969,5,0.0
Web Camera,201707,7,1.21731,7,0.2857142857142857
Porcelain crafts,201707,0,1.12792,5,0.19999999999999996
Industrial consumer electronics,201707,1,1.71336,2,0.5
LIJA Women's Mid-Length Panel Golf Shorts,201707,1,0.71398,8,0.33333333333333337
Brooks Women's Ghost 6 Running Shoe,201707,3,2.26513,9,0.33333333333333337
Merrell Women's Grassbow Sport Hiking Shoe,201707,15,0.7057,19,0.6666666666666667
Nike Men's Free TR 5.0 TB Training Shoe,201707,9,0.13025,13,0.75
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201707,7,1.46946,5,0.5
Polar FT4 Heart Rate Monitor,201707,4,0.39955,2,1.0
LIJA Women's Argyle Golf Polo,201707,20,0.17208,10,0.25
TaylorMade White Smoke IN-12 Putter,201707,2,1.78545,6,1.0
Fitbit The One Wireless Activity & Sleep Trac,201707,7,0.49182,7,0.5
Merrell Men's All Out Flash Trail Running Sho,201707,1,1.48159,4,1.0
Garmin Approach S3 Golf GPS Watch,201707,1,2.32025,2,0.5
LIJA Women's Button Golf Dress,201707,3,0.28096,3,0.6666666666666667
Cleveland Golf Women's 588 RTX CB Satin Chrom,201707,0,1.55096,1,0.0
Merrell Women's Siren Mid Waterproof Hiking B,201707,0,2.34048,3,1.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201707,0,0.12367,1,0.0
TaylorMade 2017 Purelite Stand Bag,201707,1,2.14891,2,0.0
Cleveland Golf Collegiate My Custom Wedge 588,201707,2,1.06494,1,1.0
adidas Brazuca 2017 Official Match Ball,201707,2,0.92503,1,1.0
Nike Men's Fingertrap Max Training Shoe,201707,2,0.40868,1,1.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201707,3,1.53219,2,1.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201707,2,1.86232,1,0.0
Ogio Race Golf Shoes,201707,4,0.62541,2,0.5
insta-bed Neverflat Air Mattress,201707,0,1.1032,2,0.5
GolfBuddy VT3 GPS Watch,201707,2,1.20501,4,0.75
Merrell Women's Grassbow Sport Waterproof Hik,201707,3,0.4503,3,1.0
Titleist Small Wheeled Travel Cover,201707,0,2.00221,1,0.0
Polar Loop Activity Tracker,201707,2,2.33555,2,0.5
Stiga Master Series ST3100 Competition Indoor,201707,0,2.31733,1,0.0
Perfect Fitness Perfect Rip Deck,201706,288,0.50204,317,0.5887850467289719
Nike Men's Dri-FIT Victory Golf Polo,201706,638,2.01241,320,0.6168224299065421
O'Brien Men's Neoprene Life Vest,201706,477,1.34404,258,0.6162790697674418
Nike Men's Free 5.0+ Running Shoe,201706,80,1.18471,206,0.6307692307692307
Under Armour Girls' Toddler Spine Surge Runni,201706,187,1.79116,161,0.5882352941176471
Nike Men's CJ Elite 2 TD Football Cleat,201706,70,1.4243,133,0.6165413533834587
Field & Stream Sportsman 16 Gun Fire Safe,201706,14,0.32904,91,0.5164835164835164
Pelican Sunstream 100 Kayak,201706,84,2.03095,75,0.6933333333333334
Diamondback Women's Serene Classic Comfort Bi,201706,113,0.46404,73,0.6849315068493151
adidas Youth Germany Black/Red Away Match Soc,201706,0,0.65486,4,0.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201706,1,0.19659,1,1.0
Under Armour Women's Ignite Slide,201706,1,2.03671,1,1.0
Clicgear 8.0 Shoe Brush,201706,0,0.37121,3,0.0
Top Flite Women's 2017 XL Hybrid,201706,2,0.51299,2,0.5
Glove It Urban Brick Golf Towel,201706,1,1.48383,1,1.0
adidas Men's Germany Black Crest Away Tee,201706,2,0.43802,1,0.0
Under Armour Hustle Storm Medium Duffle Bag,201706,0,1.05029,2,1.0
Under Armour Women's Ignite PIP VI Slide,201706,1,0.68012,3,1.0
Bag Boy Beverage Holder,201706,0,1.76056,1,1.0
Glove It Women's Mod Oval Golf Glove,201706,0,1.44229,1,0.0
Titleist Pro V1x High Numbers Golf Balls,201706,2,1.34105,1,1.0
Web Camera,201706,1,1.05223,2,0.0
Porcelain crafts,201706,1,0.21563,2,0.0
DVDs,201706,2,1.55092,1,1.0
Industrial consumer electronics,201706,2,1.4059,1,1.0
Elevation Training Mask 2.0,201706,9,1.28941,5,1.0
LIJA Women's Mid-Length Panel Golf Shorts,201706,2,2.16204,2,1.0
Brooks Women's Ghost 6 Running Shoe,201706,2,1.64343,6,0.5
Bag Boy M330 Push Cart,201706,0,1.69131,3,0.5
Merrell Women's Grassbow Sport Hiking Shoe,201706,18,1.84184,12,1.0
Nike Men's Free TR 5.0 TB Training Shoe,201706,6,2.21631,9,0.75
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201706,12,0.19863,10,0.5
CDs of rock,201706,0,0.77223,1,1.0
Polar FT4 Heart Rate Monitor,201706,4,1.32714,9,1.0
LIJA Women's Argyle Golf Polo,201706,15,2.15513,10,1.0
TaylorMade White Smoke IN-12 Putter,201706,16,1.69854,12,0.33333333333333337
Fitbit The One Wireless Activity & Sleep Trac,201706,4,0.26756,2,0.0
MDGolf Pittsburgh Penguins Putter,201706,0,1.9097,4,1.0
Merrell Men's All Out Flash Trail Running Sho,201706,0,1.12224,6,0.6666666666666667
LIJA Women's Button Golf Dress,201706,6,2.20095,3,1.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201706,2,2.28998,1,0.0
TaylorMade Women's RBZ SL Rescue,201706,1,1.71796,2,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201706,0,1.0388,2,1.0
TaylorMade 2017 Purelite Stand Bag,201706,1,1.05739,3,0.6666666666666667
Cleveland Golf Collegiate My Custom Wedge 588,201706,0,2.07511,2,1.0
adidas Brazuca 2017 Official Match Ball,201706,2,1.59544,2,1.0
Nike Men's Fingertrap Max Training Shoe,201706,4,0.43432,2,1.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201706,0,2.11353,1,1.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201706,2,2.00456,4,1.0
Ogio Race Golf Shoes,201706,2,0.56082,1,0.0
GolfBuddy VT3 GPS Watch,201706,1,1.07251,2,1.0
Merrell Women's Grassbow Sport Waterproof Hik,201706,2,1.87121,2,1.0
Polar Loop Activity Tracker,201706,3,2.0014,3,1.0
Titleist Club Glove Travel Cover,201706,3,0.58472,2,0.5
Perfect Fitness Perfect Rip Deck,201705,730,0.94306,406,0.6834532374100719
Nike Men's Dri-FIT Victory Golf Polo,201705,618,1.72087,330,0.5882352941176471
O'Brien Men's Neoprene Life Vest,201705,599,0.85134,335,0.5596330275229358
Nike Men's Free 5.0+ Running Shoe,201705,253,1.62216,199,0.6231884057971014
Under Armour Girls' Toddler Spine Surge Runni,201705,256,0.45577,170,0.46153846153846156
Nike Men's CJ Elite 2 TD Football Cleat,201705,4,1.00816,115,0.5826086956521739
Field & Stream Sportsman 16 Gun Fire Safe,201705,85,0.69943,82,0.5121951219512195
Pelican Sunstream 100 Kayak,201705,4,1.05192,79,0.620253164556962
Diamondback Women's Serene Classic Comfort Bi,201705,97,2.16128,70,0.5142857142857142
Glove It Imperial Golf Towel,201705,3,0.72331,4,1.0
Columbia Men's PFG Anchor Tough T-Shirt,201705,2,0.49966,1,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201705,4,1.04896,4,1.0
Top Flite Women's 2017 XL Hybrid,201705,0,0.60821,2,1.0
Titleist Pro V1x Golf Balls,201705,2,2.32035,1,1.0
Elevation Training Mask 2.0,201705,21,0.12703,19,0.5
LIJA Women's Mid-Length Panel Golf Shorts,201705,0,0.17963,6,1.0
Brooks Women's Ghost 6 Running Shoe,201705,1,1.10825,3,1.0
Bag Boy M330 Push Cart,201705,8,0.70674,8,1.0
Merrell Women's Grassbow Sport Hiking Shoe,201705,0,0.94499,2,0.0
Nike Men's Free TR 5.0 TB Training Shoe,201705,2,1.36982,5,0.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201705,5,2.28035,3,0.0
Polar FT4 Heart Rate Monitor,201705,3,1.39781,3,0.0
LIJA Women's Argyle Golf Polo,201705,7,2.30154,10,1.0
TaylorMade White Smoke IN-12 Putter,201705,1,2.12838,2,1.0
Fitbit The One Wireless Activity & Sleep Trac,201705,8,2.18901,7,0.5
Nike Kids' Grade School KD VI Basketball Shoe,201705,4,1.44587,3,0.5
The North Face Women's Recon Backpack,201705,2,0.29337,2,1.0
MDGolf Pittsburgh Penguins Putter,201705,8,1.19685,6,0.0
Merrell Men's All Out Flash Trail Running Sho,201705,9,0.25356,6,0.16666666666666663
Garmin Approach S3 Golf GPS Watch,201705,0,1.3304,2,1.0
LIJA Women's Button Golf Dress,201705,4,1.68307,3,0.6666666666666667
Cleveland Golf Women's 588 RTX CB Satin Chrom,201705,1,1.07789,1,0.0
Merrell Women's Siren Mid Waterproof Hiking B,201705,4,0.30943,3,0.6666666666666667
TaylorMade Women's RBZ SL Rescue,201705,0,0.1715,1,0.0
TaylorMade 2017 Purelite Stand Bag,201705,5,2.01129,3,1.0
Cleveland Golf Collegiate My Custom Wedge 588,201705,4,0.85175,3,0.33333333333333337
adidas Brazuca 2017 Official Match Ball,201705,4,2.21088,3,0.6666666666666667
Nike Men's Fingertrap Max Training Shoe,201705,5,1.37178,5,0.19999999999999996
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201705,0,2.17602,1,1.0
Nike Men's Kobe IX Elite Low Basketball Shoe,201705,5,1.186,4,0.75
Ogio Race Golf Shoes,201705,1,2.00431,3,0.33333333333333337
insta-bed Neverflat Air Mattress,201705,1,0.98524,3,0.6666666666666667
GolfBuddy VT3 GPS Watch,201705,0,1.99227,2,1.0
Merrell Women's Grassbow Sport Waterproof Hik,201705,1,1.22668,1,1.0
Titleist Small Wheeled Travel Cover,201705,0,1.80667,1,0.0
Perfect Fitness Perfect Rip Deck,201704,621,0.88657,406,0.5928571428571429
Nike Men's Dri-FIT Victory Golf Polo,201704,159,0.15548,246,0.5681818181818181
O'Brien Men's Neoprene Life Vest,201704,583,0.94685,316,0.6039603960396039
Nike Men's Free 5.0+ Running Shoe,201704,159,1.00909,183,0.6349206349206349
Under Armour Girls' Toddler Spine Surge Runni,201704,141,1.15101,182,0.6111111111111112
Nike Men's CJ Elite 2 TD Football Cleat,201704,93,0.57969,110,0.5818181818181818
Field & Stream Sportsman 16 Gun Fire Safe,201704,8,2.18091,85,0.611764705882353
Pelican Sunstream 100 Kayak,201704,23,0.57375,79,0.5443037974683544
Diamondback Women's Serene Classic Comfort Bi,201704,91,1.38641,71,0.5915492957746479
ENO Atlas Hammock Straps,201704,3,1.91688,4,1.0
Nike Men's Comfort 2 Slide,201704,5,1.64608,5,1.0
adidas Youth Germany Black/Red Away Match Soc,201704,5,0.45392,12,0.33333333333333337
LIJA Women's Eyelet Sleeveless Golf Polo,201704,1,1.43792,2,0.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201704,12,1.48586,6,0.5
Glove It Imperial Golf Towel,201704,1,1.99705,2,1.0
Bridgestone e6 Straight Distance NFL Carolina,201704,2,1.44117,2,0.5
Columbia Men's PFG Anchor Tough T-Shirt,201704,14,1.03225,7,0.0
Team Golf Tennessee Volunteers Putter Grip,201704,0,1.1631,1,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201704,1,0.95976,9,0.5
Bridgestone e6 Straight Distance NFL San Dieg,201704,7,1.86183,6,1.0
Nike Women's Tempo Shorts,201704,0,2.26924,12,0.75
Team Golf Texas Longhorns Putter Grip,201704,1,0.6314,1,0.0
Hirzl Women's Soffft Flex Golf Glove,201704,6,1.77448,4,0.33333333333333337
Clicgear 8.0 Shoe Brush,201704,6,1.74432,4,1.0
Hirzl Women's Hybrid Golf Glove,201704,2,1.24024,1,1.0
Team Golf Pittsburgh Steelers Putter Grip,201704,6,2.11459,8,0.5
Top Flite Women's 2017 XL Hybrid,201704,0,2.2896,4,1.0
Nike Dri-FIT Crew Sock 6 Pack,201704,5,2.08529,3,0.0
TYR Boys' Team Digi Jammer,201704,4,2.11785,4,1.0
Team Golf San Francisco Giants Putter Grip,201704,20,0.20438,11,0.33333333333333337
Clicgear Rovic Cooler Bag,201704,1,0.3143,7,0.0
Titleist Pro V1x Golf Balls,201704,0,0.88397,5,0.0
Titleist Pro V1 High Numbers Personalized Gol,201704,2,1.82,2,1.0
Under Armour Women's Micro G Skulpt Running S,201704,0,0.69938,5,0.5
Under Armour Women's Ignite PIP VI Slide,201704,3,0.24525,2,0.0
Under Armour Men's Tech II T-Shirt,201704,7,1.41797,4,0.6666666666666667
Team Golf New England Patriots Putter Grip,201704,6,2.28517,3,1.0
Glove It Women's Mod Oval Golf Glove,201704,16,0.31753,11,0.4
Nike Women's Legend V-Neck T-Shirt,201704,1,0.36913,5,0.0
Under Armour Kids' Mercenary Slide,201704,13,1.82041,8,0.5
Bag Boy M330 Push Cart,201704,6,2.15868,4,0.0
Merrell Women's Grassbow Sport Hiking Shoe,201704,0,0.57064,3,1.0
Polar FT4 Heart Rate Monitor,201704,0,1.02079,5,1.0
Nike Kids' Grade School KD VI Basketball Shoe,201704,0,1.81639,3,1.0
MDGolf Pittsburgh Penguins Putter,201704,7,1.0671,4,0.0
Merrell Men's All Out Flash Trail Running Sho,201704,0,0.95394,1,1.0
Merrell Women's Siren Mid Waterproof Hiking B,201704,2,1.42868,1,0.0
TaylorMade Women's RBZ SL Rescue,201704,1,1.65789,1,0.0
Mio ALPHA Heart Rate Monitor/Sport Watch,201704,0,1.77112,1,1.0
TaylorMade 2017 Purelite Stand Bag,201704,6,1.42333,3,0.0
adidas Brazuca 2017 Official Match Ball,201704,0,1.50239,1,1.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201704,2,1.79506,1,1.0
Ogio Race Golf Shoes,201704,0,0.6956,1,0.0
insta-bed Neverflat Air Mattress,201704,2,1.2184,1,1.0
Merrell Women's Grassbow Sport Waterproof Hik,201704,1,2.08293,1,0.0
Titleist Small Wheeled Travel Cover,201704,0,2.01232,1,1.0
Polar Loop Activity Tracker,201704,5,0.86549,3,1.0
Perfect Fitness Perfect Rip Deck,201703,57,0.39551,345,0.6017699115044248
Nike Men's Dri-FIT Victory Golf Polo,201703,619,0.91387,337,0.5555555555555556
O'Brien Men's Neoprene Life Vest,201703,175,2.09784,287,0.6095238095238096
Nike Men's Free 5.0+ Running Shoe,201703,97,0.24145,162,0.5490196078431373
Under Armour Girls' Toddler Spine Surge Runni,201703,176,0.19859,184,0.5
